,INVESTMENT,Ticker,ASSET CLASS,1 YR,5 YEAR,10 YR / INCEP,GROSS EXP %,Weights,Weights_cla
0,American Century Mid Cap Value R6,AMDVX,Mid Cap Funds,-17.23%,1.89%,8.21%,0.63%,0.0,0.0
1,Fidelity Mid Cap Index,FSMDX,Mid Cap Funds,-18.29%,1.86%,9.21%,0.03%,0.0,0.0
2,Fidelity Small Cap Index,FSSNX,Small Cap Funds,-23.87%,-0.07%,7.75%,0.03%,0.0,0.0
3,Fidelity 500 Index,FXAIX,Large Cap Funds,-6.99%,6.72%,10.51%,0.02%,0.0,0.0
4,Fidelity US Bond Index,FXNAX,Bond,9.23%,3.39%,3.87%,0.03%,10.147,23.061
5,Victory Trivalent International Sm Cp R6,MSSIX,International Funds,-18.16%,0.17%,6.49%,1.10%,0.0,0.0
6,Great-West T. Rowe Price Mid Cap Gr Inst,MXYKX,Mid Cap Funds,-12.79%,5.76%,11.07%,0.67%,0.0,0.0
7,PIMCO Income Instl,PIMIX,Bond,-3.16%,3.59%,7.34%,1.05%,70.734,58.812
8,AB Small Cap Growth I,QUAIX,Small Cap Funds,-9.69%,8.06%,12.91%,0.91%,1.323,1.6199999999999999
9,American Funds EuroPacific Growth Fund,RERGX,Foreign Large Cap Funds,-14.74%,0.91%,3.97%,1.00%,0.0,0.0
10,T. Rowe Price Blue Chip Growth I,TBCIX,Large Cap Funds,-2.70%,10.86%,13.93%,0.57%,11.314,8.351
11,Undiscovered Mgrs Behavioral Value R6,UBVFX,Small Cap Funds,-35.97%,-3.26%,6.21%,0.86%,0.0,0.0
12,Vanguard Equity-Income Adm,VEIRX,Large Cap Funds,-13.20%,4.55%,9.61%,0.18%,0.0,0.0
